Table 1 
Planetary and Stellar Parameters for All Planets Analyzed


		e (Mode)	e (68%)	R_p [R_oplus]	Period (days)	References	M_sstarf [M_sun]	R_sstarf [R_sun]	Density (g cm^-3)	
Kepler-10b	KOI-72.01	0.06	[0, 0.22]	1.473 +or- 0.026	0.83749026 (29)	(2)	${0.920}_{0.010}^{-0.020}$	${1.0662}_{0.0069}^{-0.0075}$	${1.0679}_{0.0072}^{-0.012}$	
Kepler-10c	KOI-72.02	0.05	[0, 0.25]	2.323 +or- 0.028	45.294292 (97)	(2)	${0.920}_{0.010}^{-0.020}$	${1.0662}_{0.0069}^{-0.0075}$	${1.0679}_{0.0072}^{-0.012}$	
Kepler-23b	KOI-168.03	0.06	[0, 0.32]	1.694 +or- 0.076	7.106995 (73)	(1)	${1.078}_{0.077}^{-0.077}$	${1.548}_{0.048}^{-0.048}$	${0.410}_{0.023}^{-0.023}$	
Kepler-23c	KOI-168.01	0.02	[0, 0.41]	3.12 +or- 0.10	10.742434 (39)	(1)	${1.078}_{0.077}^{-0.077}$	${1.548}_{0.048}^{-0.048}$	${0.410}_{0.023}^{-0.023}$	
Kepler-23d	KOI-168.02	0.08	[0, 0.32]	2.235 +or- 0.088	15.27429 (17)	(1)	${1.078}_{0.077}^{-0.077}$	${1.548}_{0.048}^{-0.048}$	${0.410}_{0.023}^{-0.023}$	
Kepler-25b	KOI-244.02	0.05	[0, 0.16]	2.702 +or- 0.037	6.2385369 (33)	(2)	${1.160}_{0.040}^{-0.050}$	${1.299}_{0.015}^{-0.016}$	${0.7454}_{0.0093}^{-0.0098}$	
Kepler-25c	KOI-244.01	0.01	[0, 0.08]	5.154 +or- 0.060	12.7203678 (35)	(2)	${1.160}_{0.040}^{-0.050}$	${1.299}_{0.015}^{-0.016}$	${0.7454}_{0.0093}^{-0.0098}$	
Kepler-37b	KOI-245.03	0.08	[0, 0.29]	0.354 +or- 0.014	13.36805 (38)	(2)	${0.810}_{0.020}^{-0.010}$	${0.7725}_{0.0051}^{-0.0063}$	${2.486}_{0.022}^{-0.025}$	
Kepler-37c	KOI-245.02	0.09	[0, 0.27]	0.705 +or- 0.012	21.302071 (92)	(2)	${0.810}_{0.020}^{-0.010}$	${0.7725}_{0.0051}^{-0.0063}$	${2.486}_{0.022}^{-0.025}$	
Kepler-37d	KOI-245.01	0.15	[0.05, 0.22]	1.922 +or- 0.024	39.792232 (54)	(2)	${0.810}_{0.020}^{-0.010}$	${0.7725}_{0.0051}^{-0.0063}$	${2.486}_{0.022}^{-0.025}$	
Kepler-65b	KOI-85.02	0.02	[0, 0.19]	1.409 +or- 0.017	2.1549156 (25)	(2)	${1.199}_{0.030}^{-0.030}$	${1.401}_{0.013}^{-0.014}$	${0.6158}_{0.0071}^{-0.0079}$	
Kepler-65c	KOI-85.01	0.08	[0, 0.2]	2.571 +or- 0.033	5.8599408 (23)	(2)	${1.199}_{0.030}^{-0.030}$	${1.401}_{0.013}^{-0.014}$	${0.6158}_{0.0071}^{-0.0079}$	
Kepler-65d	KOI-85.03	0.10	[0, 0.33]	1.506 +or- 0.040	8.131231 (21)	(2)	${1.199}_{0.030}^{-0.030}$	${1.401}_{0.013}^{-0.014}$	${0.6158}_{0.0071}^{-0.0079}$	
Kepler-68b	KOI-246.01	0.02	[0, 0.15]	2.354 +or- 0.020	5.3987533 (13)	(2)	${1.070}_{0.010}^{-0.020}$	${1.2379}_{0.0067}^{-0.0051}$	${0.7949}_{0.0052}^{-0.011}$	
Kepler-68c	KOI-246.02	0.42	[0.32, 0.83]	0.927 +or- 0.025	9.604979 (45)	(2)	${1.070}_{0.010}^{-0.020}$	${1.2379}_{0.0067}^{-0.0051}$	${0.7949}_{0.0052}^{-0.011}$	
Kepler-92b	KOI-285.01	0.17	[0, 0.27]	3.65 +or- 0.13	13.748933 (75)	(2)	${1.209}_{0.020}^{-0.030}$	${1.719}_{0.011}^{-0.013}$	${0.3355}_{0.0044}^{-0.0040}$	
Kepler-92c	KOI-285.02	0.04	[0, 0.26]	2.455 +or- 0.053	26.72311 (19)	(2)	${1.209}_{0.020}^{-0.030}$	${1.719}_{0.011}^{-0.013}$	${0.3355}_{0.0044}^{-0.0040}$	
Kepler-92d	KOI-285.03	0.07	[0.03, 0.41]	2.067 +or- 0.056	49.3568 (24)	(2)	${1.209}_{0.020}^{-0.030}$	${1.719}_{0.011}^{-0.013}$	${0.3355}_{0.0044}^{-0.0040}$	
Kepler-100b	KOI-41.02	0.13	[0, 0.40]	1.305 +or- 0.030	6.887037 (47)	(2)	${1.109}_{0.020}^{-0.020}$	${1.5131}_{0.0093}^{-0.011}$	${0.4542}_{0.0043}^{-0.0058}$	
Kepler-100c	KOI-41.01	0.02	[0.01, 0.17]	2.221 +or- 0.022	12.815909 (26)	(2)	${1.109}_{0.020}^{-0.020}$	${1.5131}_{0.0093}^{-0.011}$	${0.4542}_{0.0043}^{-0.0058}$	
Kepler-100d	KOI-41.03	0.38	[0.22, 0.50]	1.514 +or- 0.034	35.33313 (43)	(2)	${1.109}_{0.020}^{-0.020}$	${1.5131}_{0.0093}^{-0.011}$	${0.4542}_{0.00431}^{-0.00579}$	
Kepler-103b	KOI-108.01	0.03	[0, 0.23]	3.476 +or- 0.039	15.965316 (18)	(2)	${1.099}_{0.019}^{-0.030}$	${1.455}_{0.024}^{-0.013}$	${0.5070}_{0.0050}^{-0.0050}$	
Kepler-103c	KOI-108.02	0.02	[0, 0.21]	5.319 +or- 0.052	179.6133 (47)	(2)	${1.099}_{0.019}^{-0.030}$	${1.450}_{0.009}^{-0.009}$	${0.5070}_{0.0050}^{-0.0050}$	
Kepler-107b	KOI-117.03	0.02	[0, 0.22]	1.581 +or- 0.056	3.180026 (12)	(1)	${1.142}_{0.068}^{-0.068}$	${1.411}_{0.047}^{-0.047}$	${0.581}_{0.049}^{-0.049}$	
Kepler-107c	KOI-117.02	0.02	[0, 0.28]	1.664 +or- 0.065	4.901441 (30)	(1)	${1.142}_{0.068}^{-0.068}$	${1.411}_{0.047}^{-0.047}$	${0.581}_{0.049}^{-0.049}$	
