,koi_id,e_mode_ve,e_hdi_ve_1,e_hdi_ve_2,e_mode_gp,e_hdi_gp_1,e_hdi_gp_2
0,K00001.01,0.01,0.0,0.1,0.19,0.12,0.39
1,K00002.01,0.01,0.0,0.13,0.17,0.12,0.42
2,K00007.01,0.02,0.0,0.21,0.0,0.0,0.22
3,K00042.01,0.18,0.13,0.42,0.42,0.34,0.63
4,K00075.01,0.02,0.0,0.18,0.0,0.0,0.28
5,K00087.01,0.38,0.0,0.45,0.39,0.16,0.62
6,K00092.01,0.37,0.26,0.69,0.71,0.53,0.84
7,K00097.01,0.01,0.0,0.15,0.1,0.04,0.34
8,K00107.01,0.11,0.0,0.29,0.09,0.0,0.27
9,K00118.01,0.23,0.0,0.41,0.22,0.01,0.39
10,K00122.01,0.39,0.26,0.56,0.36,0.26,0.59
11,K00257.01,0.02,0.0,0.21,0.59,0.25,0.75
12,K00261.01,0.39,0.31,0.58,0.16,0.0,0.35
13,K00268.01,0.12,0.07,0.38,0.0,0.0,0.25
14,K00269.01,0.03,0.0,0.46,0.0,0.0,0.31
15,K00273.01,0.04,0.0,0.35,0.73,0.64,0.83
16,K00280.01,0.1,0.0,0.35,0.58,0.31,0.75
17,K00281.01,0.14,0.09,0.62,0.15,0.04,0.39
18,K00288.01,0.17,0.07,0.41,0.17,0.03,0.4
19,K00319.01,0.02,0.0,0.22,0.0,0.0,0.26
20,K00367.01,0.77,0.73,0.84,0.78,0.74,0.87
21,K00374.01,0.04,0.0,0.53,0.08,0.0,0.31
22,K00674.01,0.27,0.21,0.49,0.24,0.09,0.46
23,K00974.01,0.14,0.0,0.32,0.13,0.0,0.34
24,K00975.01,0.26,0.11,0.49,0.33,0.02,0.49
25,K01299.01,0.42,0.29,0.63,0.49,0.38,0.7
26,K01314.01,0.34,0.03,0.5,0.34,0.09,0.56
27,K01442.01,0.02,0.0,0.3,0.0,0.0,0.34
28,K01612.01,0.67,0.47,0.87,0.73,0.42,0.99
29,K01613.01,0.33,0.03,0.5,0.09,0.0,0.41
30,K01618.01,0.03,0.0,0.33,0.03,0.0,0.36
31,K01621.01,0.43,0.09,0.59,0.43,0.19,0.62
32,K01883.01,0.14,0.0,0.36,0.0,0.0,0.36
33,K01925.01,0.05,0.0,0.42,0.68,0.38,0.88
34,K01964.01,0.13,0.0,0.37,0.25,0.0,0.4
35,K02390.01,0.63,0.37,0.85,0.54,0.28,0.73
36,K02462.01,0.06,0.0,0.35,0.0,0.0,0.33
37,K02545.01,0.03,0.0,0.37,0.0,0.0,0.36
38,K02632.01,0.19,0.0,0.39,0.16,0.0,0.39
39,K02706.01,0.03,0.0,0.38,0.0,0.0,0.38
40,K02792.01,0.04,0.0,0.35,0.09,0.01,0.42
41,K02801.01,0.03,0.0,0.37,0.0,0.0,0.31
42,K02956.01,0.04,0.0,0.45,0.0,0.0,0.34
